,code,name,date,weight
427,002179,中航光电,2017-06-01,0.3
428,002551,尚荣医疗,2017-06-01,0.1
429,600017,日照港,2017-06-01,0.22
430,002238,天威视讯,2017-06-01,0.06
431,002276,万马股份,2017-06-01,0.14
432,002373,千方科技,2017-06-01,0.2
433,600180,瑞茂通,2017-06-01,0.1
434,002603,以岭药业,2017-06-01,0.22
435,002250,联化科技,2017-06-01,0.21
436,300273,和佳股份,2017-06-01,0.19
437,002400,省广股份,2017-06-01,0.25
438,000970,中科三环,2017-06-01,0.29
439,002190,成飞集成,2017-06-01,0.12
440,600525,长园集团,2017-06-01,0.47
441,002249,大洋电机,2017-06-01,0.06
442,000727,华东科技,2017-06-01,0.21
443,300287,飞利信,2017-06-01,0.18
444,600773,西藏城投,2017-06-01,0.12
445,600586,金晶科技,2017-06-01,0.12
446,600409,三友化工,2017-06-01,0.22
447,603883,XD老百姓,2017-06-01,0.13
448,000612,焦作万方,2017-06-01,0.18
449,600633,浙数文化,2017-06-01,0.26
450,600220,江苏阳光,2017-06-01,0.13
451,000501,鄂武商Ａ,2017-06-01,0.17
452,600884,杉杉股份,2017-06-01,0.21
453,000758,中色股份,2017-06-01,0.21
454,600184,光电股份,2017-06-01,0.07
455,000860,顺鑫农业,2017-06-01,0.2
456,600751,天海投资,2017-06-01,0.2
457,000762,西藏矿业,2017-06-01,0.15
458,002460,赣锋锂业,2017-06-01,0.58
459,000006,深振业Ａ,2017-06-01,0.22
460,002285,世联行,2017-06-01,0.17
461,300166,东方国信,2017-06-01,0.17
462,300122,智飞生物,2017-06-01,0.24
463,600869,智慧能源,2017-06-01,0.12
464,002405,四维图新,2017-06-01,0.41
465,600537,亿晶光电,2017-06-01,0.12
466,601880,大连港,2017-06-01,0.24
467,002410,广联达,2017-06-01,0.31
468,000066,中国长城,2017-06-01,0.43
469,002268,卫 士 通,2017-06-01,0.2
470,601689,拓普集团,2017-06-01,0.18
471,300001,特锐德,2017-06-01,0.17
472,002428,云南锗业,2017-06-01,0.12
473,600481,双良节能,2017-06-01,0.13
474,000681,视觉中国,2017-06-01,0.12
475,002366,台海核电,2017-06-01,0.29
476,002544,杰赛科技,2017-06-01,0.19
477,600500,中化国际,2017-06-01,0.26
478,603377,东方时尚,2017-06-01,0.05
479,300159,新研股份,2017-06-01,0.3
480,002217,合力泰,2017-06-01,0.21
481,000090,天健集团,2017-06-01,0.18
482,600563,法拉电子,2017-06-01,0.16
483,002414,高德红外,2017-06-01,0.09
484,600053,九鼎投资,2017-06-01,0.12
485,002663,普邦股份,2017-06-01,0.14
486,600416,湘电股份,2017-06-01,0.19
487,600478,科力远,2017-06-01,0.24
488,002396,星网锐捷,2017-06-01,0.15
489,300043,星辉娱乐,2017-06-01,0.1
490,000690,宝新能源,2017-06-01,0.21
491,600848,上海临港,2017-06-01,0.15
492,002727,一心堂,2017-06-01,0.12
493,600584,长电科技,2017-06-01,0.4
494,603528,多伦科技,2017-06-01,0.07
495,600879,航天电子,2017-06-01,0.32
496,000810,创维数字,2017-06-01,0.15
497,603019,中科曙光,2017-06-01,0.26
498,603328,依顿电子,2017-06-01,0.08
499,000025,特 力Ａ,2017-06-01,0.05
